"X","Variable","Importance","Participant","NLP"
"K23106.78","PA GPT",-0.000222504,"K23106","GPT"
"K23107.1","Time",0.001400451,"K23107","Time"
"K23107.2","Word Count",-0.00330775,"K23107","Text leangth"
"K23107.3","Analytic",0,"K23107","LIWC"
"K23107.4","Authentic",8.75505407668066e-05,"K23107","LIWC"
"K23107.5","WordPerSentence",-0.001971059,"K23107","Text leangth"
"K23107.6","BigWords",0.003038819,"K23107","LIWC"
"K23107.7","Dictionary",0.000771435,"K23107","LIWC"
"K23107.8","Linguistic",-0.000605247,"K23107","LIWC"
"K23107.9","Function",0.002891138,"K23107","LIWC"
"K23107.10","Pronoun",0.000407957,"K23107","LIWC"
"K23107.11","Personal pronouns",0,"K23107","LIWC"
"K23107.12","i",0,"K23107","LIWC"
"K23107.13","Determiners",0,"K23107","LIWC"
"K23107.14","Article",0.000996688,"K23107","LIWC"
"K23107.15","Preposition  ",2.48469039608936e-05,"K23107","LIWC"
"K23107.16","Auxiliary verbs",-0.003814907,"K23107","LIWC"
"K23107.17","Verb",0.000963144,"K23107","LIWC"
"K23107.18","Adjectives",0.003675935,"K23107","LIWC"
"K23107.19","Drives",0.000573887,"K23107","LIWC"
"K23107.20","Achieve",4.79449587792345e-05,"K23107","LIWC"
"K23107.21","Cognition",0,"K23107","LIWC"
"K23107.22","Cognitive processes",0.000985276,"K23107","LIWC"
"K23107.23","Affect",0,"K23107","LIWC"
"K23107.24","Positive tone",0.001813147,"K23107","LIWC"
"K23107.25","Negative tone",-1.64e-06,"K23107","LIWC"
"K23107.26","Social",0.003126249,"K23107","LIWC"
"K23107.27","Culture",-0.00125903,"K23107","LIWC"
"K23107.28","Tech",0.000219352,"K23107","LIWC"
"K23107.29","Lifestyle",1.43040323186488e-05,"K23107","LIWC"
"K23107.30","Leisure",0.000592941,"K23107","LIWC"
"K23107.31","Work",0.000916217,"K23107","LIWC"
"K23107.33","Physical",-0.000218797,"K23107","LIWC"
"K23107.34","Food",0,"K23107","LIWC"
"K23107.35","Acquire",-0.000102316,"K23107","LIWC"
"K23107.36","Allure",0.000195184,"K23107","LIWC"
"K23107.37","Perception",0.000543093,"K23107","LIWC"
"K23107.38","Motion",0.00353877,"K23107","LIWC"
"K23107.39","Space",-0.000631231,"K23107","LIWC"
"K23107.40","Visual",-3.38e-05,"K23107","LIWC"
"K23107.41","Time LIWC",0.000146422,"K23107","LIWC"
"K23107.42","FocusPast",-0.007566021,"K23107","LIWC"
"K23107.43","Compound",-2.74e-06,"K23107","LIWC"
"K23107.44","PA VADER",-2.25e-05,"K23107","Vader"
"K23107.45","Neutral VADER",1.12715871613498e-05,"K23107","LIWC"
"K23107.46","NA VADER",0,"K23107","Vader"
"K23107.47","ThoughtLength",1.96845425453506e-06,"K23107","LIWC"
"K23107.48","StressLength",0.009612813,"K23107","Text leangth"
"K23107.49","EnjoyLength",0,"K23107","Text leangth"
"K23107.50","Topic_t1",-3.44e-05,"K23107","LDA"
"K23107.51","Topic_t2",5.31291072963183e-06,"K23107","LDA"
"K23107.52","Topic_t3",-2.37e-06,"K23107","LDA"
"K23107.53","Topic_t4",-1.51e-05,"K23107","LDA"
"K23107.54","Topic_t5",-9.94e-06,"K23107","LDA"
"K23107.55","Topic_t6",-1.5e-05,"K23107","LDA"
"K23107.56","Happy GPT",0.000387396,"K23107","GPT"
"K23107.57","Sad GPT",0.000245155,"K23107","GPT"
"K23107.58","Nervous GPT",-2.01e-05,"K23107","GPT"
"K23107.59","Interested GPT",2.4246602856021e-06,"K23107","GPT"
"K23107.60","Angry GPT",0.000406784,"K23107","GPT"
"K23107.61","Excited GPT",-0.000569708,"K23107","GPT"
"K23107.62","Bored GPT",0.000354561,"K23107","GPT"
"K23107.63","NA GPT",0.000157508,"K23107","GPT"
"K23107.64","PA GPT",0,"K23107","GPT"
"K23109.1","Time",0.013629991,"K23109","Time"
"K23109.2","Word Count",-0.010332384,"K23109","Text leangth"
"K23109.3","Analytic",-0.039108387,"K23109","LIWC"
"K23109.4","Clout",0.00199414,"K23109","LIWC"
"K23109.5","Authentic",-7.94e-05,"K23109","LIWC"
"K23109.6","WordPerSentence",-0.009501024,"K23109","Text leangth"
"K23109.7","BigWords",-0.003442125,"K23109","LIWC"
"K23109.8","Dictionary",0.00160212,"K23109","LIWC"
"K23109.9","Linguistic",0.010576012,"K23109","LIWC"
"K23109.10","Function",-0.000175064,"K23109","LIWC"
"K23109.11","Pronoun",-0.016488082,"K23109","LIWC"
"K23109.12","Personal pronouns",0.008556085,"K23109","LIWC"
"K23109.13","i",-7.61e-05,"K23109","LIWC"
"K23109.14","Determiners",-0.001450026,"K23109","LIWC"
"K23109.15","Article",-3.34e-05,"K23109","LIWC"
"K23109.16","Preposition  ",-0.000549413,"K23109","LIWC"
"K23109.17","Auxiliary verbs",-0.006830203,"K23109","LIWC"
"K23109.18","Adverbs",-0.00869828,"K23109","LIWC"
"K23109.19","Verb",0.004648923,"K23109","LIWC"
"K23109.20","Adjectives",-0.001364272,"K23109","LIWC"
"K23109.21","Drives",-0.000137576,"K23109","LIWC"
"K23109.22","Affiliation",0.006495908,"K23109","LIWC"
"K23109.23","Cognition",-0.000192253,"K23109","LIWC"
"K23109.24","Affect",0.013064836,"K23109","LIWC"
"K23109.25","Negative tone",-0.003858906,"K23109","LIWC"
"K23109.26","Emotion",4.52473865893884e-05,"K23109","LIWC"
"K23109.27","NA LIWC",0.003982108,"K23109","LIWC"
"K23109.28","Social",0.011301543,"K23109","LIWC"
"K23109.29","Social referents",0.000852376,"K23109","LIWC"
"K23109.30","Lifestyle",-0.003664914,"K23109","LIWC"
"K23109.31","Leisure",0.003583719,"K23109","LIWC"
"K23109.32","Work",-0.006646032,"K23109","LIWC"
"K23109.33","Physical",-0.000381785,"K23109","LIWC"
"K23109.34","Food",0.004013579,"K23109","LIWC"
"K23109.35","Acquire",-4.52e-05,"K23109","LIWC"
"K23109.36","Allure",-0.003279633,"K23109","LIWC"
"K23109.37","Perception",0.038226017,"K23109","LIWC"
"K23109.38","Motion",-0.000372266,"K23109","LIWC"
"K23109.39","Space",8.45444413256694e-05,"K23109","LIWC"
"K23109.40","Feeling",-0.000207223,"K23109","LIWC"
"K23109.41","FocusPast",0.00121925,"K23109","LIWC"
"K23109.42","Compound",6.1540495347239e-05,"K23109","LIWC"
"K23109.43","PA VADER",9.72442064004988e-05,"K23109","Vader"
"K23109.44","Neutral VADER",0,"K23109","LIWC"
"K23109.45","NA VADER",4.68575212217905e-07,"K23109","Vader"
"K23109.46","ThoughtLength",-0.001517308,"K23109","LIWC"
"K23109.47","StressLength",-0.035792958,"K23109","Text leangth"
"K23109.48","EnjoyLength",0.006329156,"K23109","Text leangth"
"K23109.49","Topic_t1",7.62719765458397e-06,"K23109","LDA"
"K23109.50","Topic_t2",-7.29e-07,"K23109","LDA"
"K23109.51","Topic_t3",8.31468367148247e-07,"K23109","LDA"
"K23109.52","Topic_t4",1.59470366317979e-06,"K23109","LDA"
"K23109.53","Topic_t5",2.29076821621618e-07,"K23109","LDA"
"K23109.54","Topic_t6",-9.9e-06,"K23109","LDA"
"K23109.55","Happy GPT",-0.000191104,"K23109","GPT"
"K23109.56","Sad GPT",0.000650679,"K23109","GPT"
"K23109.57","Nervous GPT",3.48819369037585e-05,"K23109","GPT"
"K23109.58","Interested GPT",-0.000129631,"K23109","GPT"
"K23109.59","Angry GPT",-2.13e-05,"K23109","GPT"
"K23109.60","Excited GPT",0.000255288,"K23109","GPT"
"K23109.61","Bored GPT",-0.000401311,"K23109","GPT"
"K23109.62","NA GPT",0.000547469,"K23109","GPT"
"K23109.63","PA GPT",0,"K23109","GPT"
"K23114.1","Time",0.000374706,"K23114","Time"
"K23114.2","Word Count",0.000667691,"K23114","Text leangth"
"K23114.3","Analytic",-0.010609718,"K23114","LIWC"
"K23114.4","Clout",-0.008559338,"K23114","LIWC"
"K23114.5","Authentic",0.035640541,"K23114","LIWC"
"K23114.6","WordPerSentence",0.00075645,"K23114","Text leangth"
"K23114.7","BigWords",0.074724258,"K23114","LIWC"
"K23114.8","Dictionary",8.47643694803668e-05,"K23114","LIWC"
"K23114.9","Linguistic",0.001342699,"K23114","LIWC"
"K23114.10","Function",0,"K23114","LIWC"
"K23114.11","Pronoun",0,"K23114","LIWC"
"K23114.12","Personal pronouns",0.004128556,"K23114","LIWC"
"K23114.13","i",-0.001984524,"K23114","LIWC"
"K23114.14","Impersonal pronouns",0.000474068,"K23114","LIWC"
"K23114.15","Determiners",-0.008924992,"K23114","LIWC"
"K23114.16","Article",0.0011016,"K23114","LIWC"
"K23114.17","Preposition  ",0,"K23114","LIWC"
"K23114.18","Auxiliary verbs",-0.000290291,"K23114","LIWC"
"K23114.19","Negations",-0.021842113,"K23114","LIWC"
"K23114.20","Verb",0.001907091,"K23114","LIWC"
"K23114.21","Adjectives",-0.000947838,"K23114","LIWC"
"K23114.22","Quantity",3.15477574115659e-05,"K23114","LIWC"
"K23114.23","Drives",0.001879599,"K23114","LIWC"
"K23114.24","Affiliation",0.00119722,"K23114","LIWC"
"K23114.25","Cognition",-0.008791037,"K23114","LIWC"
"K23114.26","Allnone",0.002556105,"K23114","LIWC"
"K23114.27","Affect",0,"K23114","LIWC"
"K23114.28","Positive tone",-0.000656516,"K23114","LIWC"
"K23114.29","Social",2.70337518289404e-06,"K23114","LIWC"
"K23114.30","Social referents",-0.000396382,"K23114","LIWC"
"K23114.31","Lifestyle",0,"K23114","LIWC"
"K23114.32","Leisure",0.000827026,"K23114","LIWC"
"K23114.33","Home",0,"K23114","LIWC"
"K23114.34","Work",0.013945128,"K23114","LIWC"
"K23114.35","Physical",9.40452128156355e-06,"K23114","LIWC"
"K23114.36","Perception",-0.00866829,"K23114","LIWC"
"K23114.37","Time LIWC",0.004414995,"K23114","LIWC"
"K23114.38","Compound",0,"K23114","LIWC"
"K23114.39","Neutral VADER",0,"K23114","LIWC"
"K23114.40","ThoughtLength",0.000155471,"K23114","LIWC"
"K23114.41","StressLength",-0.014305312,"K23114","Text leangth"
"K23114.42","EnjoyLength",-0.000667979,"K23114","Text leangth"
"K23114.43","Topic_t1",2.61431270926545e-05,"K23114","LDA"
"K23114.44","Topic_t2",-7.35e-07,"K23114","LDA"
"K23114.45","Topic_t3",0,"K23114","LDA"
"K23114.46","Topic_t4",-3e-06,"K23114","LDA"
"K23114.47","Topic_t5",-6.5e-06,"K23114","LDA"
"K23114.48","Topic_t6",-7.27e-06,"K23114","LDA"
"K23114.49","Happy GPT",0.004075729,"K23114","GPT"
"K23114.50","Sad GPT",0.001227239,"K23114","GPT"
"K23114.51","Nervous GPT",-0.000864651,"K23114","GPT"
"K23114.52","Interested GPT",0.005215483,"K23114","GPT"
"K23114.53","Angry GPT",0,"K23114","GPT"
"K23114.54","Excited GPT",0,"K23114","GPT"
"K23114.55","Bored GPT",0.000674394,"K23114","GPT"
"K23114.56","NA GPT",0,"K23114","GPT"
"K23114.57","PA GPT",-0.000964706,"K23114","GPT"
"K23115.1","Time",0.07553693,"K23115","Time"
"K23115.2","Word Count",0.000438742,"K23115","Text leangth"
"K23115.3","Analytic",0.00885244,"K23115","LIWC"
"K23115.4","Clout",-0.001124853,"K23115","LIWC"
"K23115.5","Authentic",5.33299323258448e-05,"K23115","LIWC"
"K23115.6","WordPerSentence",-0.001102775,"K23115","Text leangth"
"K23115.7","BigWords",0.004539406,"K23115","LIWC"
"K23115.8","Dictionary",0.000826086,"K23115","LIWC"
"K23115.9","Linguistic",-0.000151021,"K23115","LIWC"
"K23115.10","Function",-0.000513319,"K23115","LIWC"
"K23115.11","Pronoun",0,"K23115","LIWC"
"K23115.12","Personal pronouns",0,"K23115","LIWC"
"K23115.13","i",-3.59e-06,"K23115","LIWC"
"K23115.14","Determiners",0.00027155,"K23115","LIWC"
"K23115.15","Article",-0.018245972,"K23115","LIWC"
"K23115.16","Preposition  ",1.10017329526098e-05,"K23115","LIWC"
"K23115.17","Auxiliary verbs",0,"K23115","LIWC"
"K23115.18","Adverbs",-0.00341449,"K23115","LIWC"
"K23115.19","Conjunctions",-0.001969669,"K23115","LIWC"
"K23115.20","Verb",0.002211703,"K23115","LIWC"
"K23115.21","Adjectives",0.008125422,"K23115","LIWC"
"K23115.22","Quantity",0.001639926,"K23115","LIWC"
"K23115.23","Drives",-0.005945044,"K23115","LIWC"
"K23115.24","Affiliation",-0.000164015,"K23115","LIWC"
"K23115.25","Achieve",0.001668345,"K23115","LIWC"
"K23115.26","Cognition",0,"K23115","LIWC"
"K23115.27","Cognitive processes",-0.001171166,"K23115","LIWC"
"K23115.28","Insight",0.000979672,"K23115","LIWC"
"K23115.29","Affect",-0.000138498,"K23115","LIWC"
"K23115.30","Positive tone",0.000595382,"K23115","LIWC"
"K23115.31","Negative tone",-0.000239224,"K23115","LIWC"
"K23115.32","Emotion",-0.000202745,"K23115","LIWC"
"K23115.33","Social",4.43071000180957e-05,"K23115","LIWC"
"K23115.34","Socbehav",0.005829172,"K23115","LIWC"
"K23115.35","Social referents",-0.001956404,"K23115","LIWC"
"K23115.36","Culture",0.002962578,"K23115","LIWC"
"K23115.37","Lifestyle",0.00125433,"K23115","LIWC"
"K23115.38","Leisure",0.010124802,"K23115","LIWC"
"K23115.39","Home",0.004742218,"K23115","LIWC"
"K23115.40","Work",0.000260247,"K23115","LIWC"
"K23115.41","Physical",0.002394713,"K23115","LIWC"
"K23115.42","Food",-0.011499732,"K23115","LIWC"
"K23115.43","Acquire",-0.015323609,"K23115","LIWC"
"K23115.44","Allure",-0.004469581,"K23115","LIWC"
"K23115.45","Perception",0.002481839,"K23115","LIWC"
"K23115.46","Attention",0.000597631,"K23115","LIWC"
"K23115.47","Motion",-0.011383619,"K23115","LIWC"
"K23115.48","Space",0.000210712,"K23115","LIWC"
"K23115.49","Visual",-0.000495851,"K23115","LIWC"
"K23115.50","Time LIWC",-0.000714142,"K23115","LIWC"
"K23115.51","FocusPast",-0.000338999,"K23115","LIWC"
"K23115.52","FocusFuture",-0.000401689,"K23115","LIWC"
"K23115.53","AllPunc",-0.001638413,"K23115","LIWC"
"K23115.54","Period",-0.00240979,"K23115","LIWC"
"K23115.55","Compound",-0.000157397,"K23115","LIWC"
"K23115.56","PA VADER",-3.16e-05,"K23115","Vader"
"K23115.57","Neutral VADER",0,"K23115","LIWC"
"K23115.58","NA VADER",-3.62e-05,"K23115","Vader"
"K23115.59","ThoughtLength",0.001093019,"K23115","LIWC"
"K23115.60","StressLength",-0.01045056,"K23115","Text leangth"
"K23115.61","EnjoyLength",0.0001694,"K23115","Text leangth"
"K23115.62","Topic_t1",-2.77e-05,"K23115","LDA"
"K23115.63","Topic_t2",-3.86e-07,"K23115","LDA"
"K23115.64","Topic_t3",-1.97e-05,"K23115","LDA"
"K23115.65","Topic_t4",4.18142890068564e-05,"K23115","LDA"
"K23115.66","Topic_t5",6.01819622227372e-05,"K23115","LDA"
"K23115.67","Topic_t6",-3.27e-05,"K23115","LDA"
"K23115.68","Happy GPT",0.000485042,"K23115","GPT"
"K23115.69","Sad GPT",1.549204548331e-05,"K23115","GPT"
"K23115.70","Nervous GPT",9.5353342813758e-05,"K23115","GPT"
"K23115.71","Interested GPT",0.000179776,"K23115","GPT"
"K23115.72","Angry GPT",0.000162065,"K23115","GPT"
"K23115.73","Excited GPT",8.56763553045925e-06,"K23115","GPT"
"K23115.74","Bored GPT",0.000180417,"K23115","GPT"
"K23115.75","NA GPT",-1.08e-05,"K23115","GPT"
"K23115.76","PA GPT",-6.84e-05,"K23115","GPT"
"K23117.1","Time",0.013640983,"K23117","Time"
"K23117.2","Word Count",0.012862818,"K23117","Text leangth"
"K23117.3","Analytic",0.041112116,"K23117","LIWC"
"K23117.4","Clout",-0.005159894,"K23117","LIWC"
"K23117.5","Authentic",-0.155256813,"K23117","LIWC"
"K23117.6","WordPerSentence",-0.018394964,"K23117","Text leangth"
"K23117.7","BigWords",-0.004941341,"K23117","LIWC"
"K23117.8","Dictionary",0.020542191,"K23117","LIWC"
"K23117.9","Linguistic",-0.257578823,"K23117","LIWC"
"K23117.10","Function",-0.012903672,"K23117","LIWC"
"K23117.11","Pronoun",-0.013808993,"K23117","LIWC"
"K23117.12","Personal pronouns",0.036074648,"K23117","LIWC"
"K23117.13","i",-0.000477298,"K23117","LIWC"
"K23117.14","Determiners",-0.041886148,"K23117","LIWC"
"K23117.15","Article",0.019828629,"K23117","LIWC"
"K23117.16","Preposition  ",-0.001059148,"K23117","LIWC"
"K23117.17","Auxiliary verbs",-0.000386739,"K23117","LIWC"
"K23117.18","Adverbs",0.000377539,"K23117","LIWC"
"K23117.19","Verb",0.021986802,"K23117","LIWC"
"K23117.20","Adjectives",0.00411432,"K23117","LIWC"
"K23117.21","Drives",-0.015889733,"K23117","LIWC"
"K23117.22","Affiliation",-0.012782218,"K23117","LIWC"
"K23117.23","Cognition",0.000782804,"K23117","LIWC"
"K23117.24","Cognitive processes",-0.002059519,"K23117","LIWC"
"K23117.25","Insight",0.000679603,"K23117","LIWC"
"K23117.26","Cause",-0.002711892,"K23117","LIWC"
"K23117.27","Affect",0.008730807,"K23117","LIWC"
"K23117.28","Negative tone",-0.000381949,"K23117","LIWC"
"K23117.29","Social",0.006836887,"K23117","LIWC"
"K23117.30","Social referents",0.001879453,"K23117","LIWC"
"K23117.31","Friend",0.002379099,"K23117","LIWC"
"K23117.32","Male",0.004183647,"K23117","LIWC"
"K23117.33","Lifestyle",0.019542564,"K23117","LIWC"
"K23117.34","Leisure",0.08224984,"K23117","LIWC"
"K23117.35","Home",0.00581795,"K23117","LIWC"
"K23117.36","Work",-0.018914285,"K23117","LIWC"
"K23117.37","Physical",0.003273984,"K23117","LIWC"
"K23117.38","Food",0.045361571,"K23117","LIWC"
"K23117.39","Acquire",0.003708912,"K23117","LIWC"
"K23117.40","Allure",0.003107946,"K23117","LIWC"
"K23117.41","Perception",-0.004401231,"K23117","LIWC"
"K23117.42","Space",-0.007224279,"K23117","LIWC"
"K23117.43","Time LIWC",-0.001978426,"K23117","LIWC"
"K23117.44","FocusPresent",-0.036734147,"K23117","LIWC"
"K23117.45","Compound",0.00091306,"K23117","LIWC"
"K23117.46","PA VADER",-4.84e-05,"K23117","Vader"
"K23117.47","Neutral VADER",-6.47e-05,"K23117","LIWC"
"K23117.48","ThoughtLength",0.072517479,"K23117","LIWC"
"K23117.49","StressLength",9.7815484100247e-05,"K23117","Text leangth"
"K23117.50","EnjoyLength",0.00529983,"K23117","Text leangth"
"K23117.51","Topic_t1",5.28975618277303e-05,"K23117","LDA"
"K23117.52","Topic_t2",2.30485516634573e-05,"K23117","LDA"
"K23117.53","Topic_t3",-4.12e-05,"K23117","LDA"
"K23117.54","Topic_t4",3.7561969766053e-05,"K23117","LDA"
