"X","Variable","Importance","Participant","NLP"
"K23106.64","Topic_t1",0.000105167,"K23106","LDA"
"K23106.65","Topic_t2",-0.000101923,"K23106","LDA"
"K23106.66","Topic_t3",1.17e-05,"K23106","LDA"
"K23106.67","Topic_t4",-0.0001635,"K23106","LDA"
"K23106.68","Topic_t5",6.06e-06,"K23106","LDA"
"K23106.69","Topic_t6",-3.03e-05,"K23106","LDA"
"K23106.70","Happy GPT",5.77e-06,"K23106","GPT"
"K23106.71","Sad GPT",5.17e-06,"K23106","GPT"
"K23106.72","Nervous GPT",3.74e-05,"K23106","GPT"
"K23106.73","Interested GPT",-4.22e-05,"K23106","GPT"
"K23106.74","Angry GPT",0.000148051,"K23106","GPT"
"K23106.75","Excited GPT",-6.19e-06,"K23106","GPT"
"K23106.76","Bored GPT",-0.00010059,"K23106","GPT"
"K23106.77","NA GPT",-4.85e-05,"K23106","GPT"
"K23106.78","PA GPT",-6.63e-05,"K23106","GPT"
"K23107.1","Time",5.57e-05,"K23107","Time"
"K23107.2","Word Count",-0.000147172,"K23107","Text leangth"
"K23107.3","Analytic",0.000136066,"K23107","LIWC"
"K23107.4","Authentic",-4.97e-05,"K23107","LIWC"
"K23107.5","WordPerSentence",8.74e-06,"K23107","Text leangth"
"K23107.6","BigWords",3.15e-05,"K23107","LIWC"
"K23107.7","Dictionary",8.66e-06,"K23107","LIWC"
"K23107.8","Linguistic",-4.74e-05,"K23107","LIWC"
"K23107.9","Function",0.000190484,"K23107","LIWC"
"K23107.10","Pronoun",-6.59e-05,"K23107","LIWC"
"K23107.11","Personal pronouns",0.000819172,"K23107","LIWC"
"K23107.12","i",-0.000570586,"K23107","LIWC"
"K23107.13","Determiners",-0.000699491,"K23107","LIWC"
"K23107.14","Article",5.71e-05,"K23107","LIWC"
"K23107.15","Preposition  ",-0.000163322,"K23107","LIWC"
"K23107.16","Auxiliary verbs",-0.000249862,"K23107","LIWC"
"K23107.17","Verb",8.05e-06,"K23107","LIWC"
"K23107.18","Adjectives",-4.59e-05,"K23107","LIWC"
"K23107.19","Drives",-0.00024414,"K23107","LIWC"
"K23107.20","Achieve",-1.24e-05,"K23107","LIWC"
"K23107.21","Cognition",-0.000142948,"K23107","LIWC"
"K23107.22","Cognitive processes",0.000154653,"K23107","LIWC"
"K23107.23","Affect",-0.000123885,"K23107","LIWC"
"K23107.24","Positive tone",-8.64e-05,"K23107","LIWC"
"K23107.25","Negative tone",1.94e-05,"K23107","LIWC"
"K23107.26","Social",-0.000181644,"K23107","LIWC"
"K23107.27","Culture",-6.43e-05,"K23107","LIWC"
"K23107.28","Tech",5.73e-05,"K23107","LIWC"
"K23107.29","Lifestyle",-1.87e-06,"K23107","LIWC"
"K23107.30","Leisure",0.000102184,"K23107","LIWC"
"K23107.31","Work",7.66e-05,"K23107","LIWC"
"K23107.33","Physical",0.000563466,"K23107","LIWC"
"K23107.34","Food",0.000115839,"K23107","LIWC"
"K23107.35","Acquire",2.25e-05,"K23107","LIWC"
"K23107.36","Allure",-6.28e-05,"K23107","LIWC"
"K23107.37","Perception",0.000215874,"K23107","LIWC"
"K23107.38","Motion",2.61e-05,"K23107","LIWC"
"K23107.39","Space",3.52e-05,"K23107","LIWC"
"K23107.40","Visual",-3.96e-05,"K23107","LIWC"
"K23107.41","Time LIWC",-4.55e-05,"K23107","LIWC"
"K23107.42","FocusPast",6.86e-06,"K23107","LIWC"
"K23107.43","Compound",6.44e-05,"K23107","LIWC"
"K23107.44","PA VADER",4.69e-05,"K23107","Vader"
"K23107.45","Neutral VADER",6.93e-05,"K23107","LIWC"
"K23107.46","NA VADER",-5.82e-05,"K23107","Vader"
"K23107.47","ThoughtLength",-8.02e-05,"K23107","LIWC"
"K23107.48","StressLength",-6.53e-06,"K23107","Text leangth"
"K23107.49","EnjoyLength",7.51e-06,"K23107","Text leangth"
"K23107.50","Topic_t1",0.000191146,"K23107","LDA"
"K23107.51","Topic_t2",-1.71e-05,"K23107","LDA"
"K23107.52","Topic_t3",1.34e-05,"K23107","LDA"
"K23107.53","Topic_t4",-0.000171793,"K23107","LDA"
"K23107.54","Topic_t5",-0.000198635,"K23107","LDA"
"K23107.55","Topic_t6",0.000109655,"K23107","LDA"
"K23107.56","Happy GPT",4.49e-06,"K23107","GPT"
"K23107.57","Sad GPT",4.25e-05,"K23107","GPT"
"K23107.58","Nervous GPT",7.23e-05,"K23107","GPT"
"K23107.59","Interested GPT",8.19e-05,"K23107","GPT"
"K23107.60","Angry GPT",-0.000138013,"K23107","GPT"
"K23107.61","Excited GPT",-4.97e-05,"K23107","GPT"
"K23107.62","Bored GPT",-4.32e-05,"K23107","GPT"
"K23107.63","NA GPT",-5.24e-05,"K23107","GPT"
"K23107.64","PA GPT",-0.000160695,"K23107","GPT"
"K23109.1","Time",4.22e-05,"K23109","Time"
"K23109.2","Word Count",0.000149005,"K23109","Text leangth"
"K23109.3","Analytic",-5.11e-05,"K23109","LIWC"
"K23109.4","Clout",4.62e-05,"K23109","LIWC"
"K23109.5","Authentic",0.000117089,"K23109","LIWC"
"K23109.6","WordPerSentence",-5.59e-05,"K23109","Text leangth"
"K23109.7","BigWords",7.81e-05,"K23109","LIWC"
"K23109.8","Dictionary",0.000153463,"K23109","LIWC"
"K23109.9","Linguistic",-2.38e-05,"K23109","LIWC"
"K23109.10","Function",0.00015482,"K23109","LIWC"
"K23109.11","Pronoun",-0.000135985,"K23109","LIWC"
"K23109.12","Personal pronouns",-0.000233148,"K23109","LIWC"
"K23109.13","i",0.000222518,"K23109","LIWC"
"K23109.14","Determiners",0.000168181,"K23109","LIWC"
"K23109.15","Article",9.78e-06,"K23109","LIWC"
"K23109.16","Preposition  ",-0.00012604,"K23109","LIWC"
"K23109.17","Auxiliary verbs",-5.44e-05,"K23109","LIWC"
"K23109.18","Adverbs",-0.0001044,"K23109","LIWC"
"K23109.19","Verb",3.34e-05,"K23109","LIWC"
"K23109.20","Adjectives",-1.58e-05,"K23109","LIWC"
"K23109.21","Drives",-8.57e-05,"K23109","LIWC"
"K23109.22","Affiliation",-0.000174548,"K23109","LIWC"
"K23109.23","Cognition",-0.00021203,"K23109","LIWC"
"K23109.24","Affect",-6.53e-05,"K23109","LIWC"
"K23109.25","Negative tone",8.35e-06,"K23109","LIWC"
"K23109.26","Emotion",-5.79e-05,"K23109","LIWC"
"K23109.27","NA LIWC",-8.07e-05,"K23109","LIWC"
"K23109.28","Social",-4.95e-05,"K23109","LIWC"
"K23109.29","Social referents",-0.000100799,"K23109","LIWC"
"K23109.30","Lifestyle",-8.85e-05,"K23109","LIWC"
"K23109.31","Leisure",1.31e-05,"K23109","LIWC"
"K23109.32","Work",-4.48e-05,"K23109","LIWC"
"K23109.33","Physical",0.000190296,"K23109","LIWC"
"K23109.34","Food",8.66e-05,"K23109","LIWC"
"K23109.35","Acquire",0.000118936,"K23109","LIWC"
"K23109.36","Allure",5.37e-05,"K23109","LIWC"
"K23109.37","Perception",-0.000449878,"K23109","LIWC"
"K23109.38","Motion",-3.21e-06,"K23109","LIWC"
"K23109.39","Space",-6.7e-06,"K23109","LIWC"
"K23109.40","Feeling",0.000114178,"K23109","LIWC"
"K23109.41","FocusPast",-0.000176844,"K23109","LIWC"
"K23109.42","Compound",-0.0001378,"K23109","LIWC"
"K23109.43","PA VADER",5.26e-07,"K23109","Vader"
"K23109.44","Neutral VADER",6.37e-05,"K23109","LIWC"
"K23109.45","NA VADER",-0.000108687,"K23109","Vader"
"K23109.46","ThoughtLength",0.000132889,"K23109","LIWC"
"K23109.47","StressLength",6.4e-05,"K23109","Text leangth"
"K23109.48","EnjoyLength",-4.13e-05,"K23109","Text leangth"
"K23109.49","Topic_t1",5.55e-05,"K23109","LDA"
"K23109.50","Topic_t2",-0.000161837,"K23109","LDA"
"K23109.51","Topic_t3",0.000180453,"K23109","LDA"
"K23109.52","Topic_t4",0.000325067,"K23109","LDA"
"K23109.53","Topic_t5",8.88e-05,"K23109","LDA"
"K23109.54","Topic_t6",0.000226333,"K23109","LDA"
"K23109.55","Happy GPT",0.000102378,"K23109","GPT"
"K23109.56","Sad GPT",-0.000188726,"K23109","GPT"
"K23109.57","Nervous GPT",2.38e-05,"K23109","GPT"
"K23109.58","Interested GPT",-9.96e-05,"K23109","GPT"
"K23109.59","Angry GPT",-5.75e-05,"K23109","GPT"
"K23109.60","Excited GPT",-8.09e-05,"K23109","GPT"
"K23109.61","Bored GPT",8.62e-05,"K23109","GPT"
"K23109.62","NA GPT",6.51e-05,"K23109","GPT"
"K23109.63","PA GPT",-0.00019913,"K23109","GPT"
"K23114.1","Time",-0.000207065,"K23114","Time"
"K23114.2","Word Count",-0.001740188,"K23114","Text leangth"
"K23114.3","Analytic",0.001845849,"K23114","LIWC"
"K23114.4","Clout",0.000276667,"K23114","LIWC"
"K23114.5","Authentic",-0.000183095,"K23114","LIWC"
"K23114.6","WordPerSentence",-0.000157742,"K23114","Text leangth"
"K23114.7","BigWords",0.000146707,"K23114","LIWC"
"K23114.8","Dictionary",0.000261166,"K23114","LIWC"
"K23114.9","Linguistic",0.001348339,"K23114","LIWC"
"K23114.10","Function",-0.000743387,"K23114","LIWC"
"K23114.11","Pronoun",0.00021759,"K23114","LIWC"
"K23114.12","Personal pronouns",-5.77e-05,"K23114","LIWC"
"K23114.13","i",-0.000388496,"K23114","LIWC"
"K23114.14","Impersonal pronouns",0.000156169,"K23114","LIWC"
"K23114.15","Determiners",-0.000177249,"K23114","LIWC"
"K23114.16","Article",0.000372359,"K23114","LIWC"
"K23114.17","Preposition  ",-8.92e-05,"K23114","LIWC"
"K23114.18","Auxiliary verbs",-0.000315225,"K23114","LIWC"
"K23114.19","Negations",0.001247221,"K23114","LIWC"
"K23114.20","Verb",0.000326541,"K23114","LIWC"
"K23114.21","Adjectives",0.000343032,"K23114","LIWC"
"K23114.22","Quantity",-0.000176972,"K23114","LIWC"
"K23114.23","Drives",-0.00036582,"K23114","LIWC"
"K23114.24","Affiliation",6.06e-05,"K23114","LIWC"
"K23114.25","Cognition",0.000161133,"K23114","LIWC"
"K23114.26","Allnone",0.002398189,"K23114","LIWC"
"K23114.27","Affect",5.88e-06,"K23114","LIWC"
"K23114.28","Positive tone",-6.54e-05,"K23114","LIWC"
"K23114.29","Social",-0.000509304,"K23114","LIWC"
"K23114.30","Social referents",-0.000287471,"K23114","LIWC"
"K23114.31","Lifestyle",0.000494163,"K23114","LIWC"
"K23114.32","Leisure",0.000317946,"K23114","LIWC"
"K23114.33","Home",0.000480426,"K23114","LIWC"
"K23114.34","Work",0.00094031,"K23114","LIWC"
"K23114.35","Physical",-0.000309081,"K23114","LIWC"
"K23114.36","Perception",-0.000520167,"K23114","LIWC"
"K23114.37","Time LIWC",4.45e-05,"K23114","LIWC"
"K23114.38","Compound",0.00026673,"K23114","LIWC"
"K23114.39","Neutral VADER",6.37e-05,"K23114","LIWC"
"K23114.40","ThoughtLength",-0.000575344,"K23114","LIWC"
"K23114.41","StressLength",0.000528472,"K23114","Text leangth"
"K23114.42","EnjoyLength",0.000658392,"K23114","Text leangth"
"K23114.43","Topic_t1",-0.000462846,"K23114","LDA"
"K23114.44","Topic_t2",-8e-05,"K23114","LDA"
"K23114.45","Topic_t3",0.000308869,"K23114","LDA"
"K23114.46","Topic_t4",0.000119166,"K23114","LDA"
"K23114.47","Topic_t5",0.000411238,"K23114","LDA"
"K23114.48","Topic_t6",-0.00089012,"K23114","LDA"
"K23114.49","Happy GPT",-0.000940323,"K23114","GPT"
"K23114.50","Sad GPT",0.000410829,"K23114","GPT"
"K23114.51","Nervous GPT",0.001012829,"K23114","GPT"
"K23114.52","Interested GPT",0.000344326,"K23114","GPT"
"K23114.53","Angry GPT",-0.000165405,"K23114","GPT"
"K23114.54","Excited GPT",-0.000722423,"K23114","GPT"
"K23114.55","Bored GPT",-0.00044094,"K23114","GPT"
"K23114.56","NA GPT",-2.6e-05,"K23114","GPT"
"K23114.57","PA GPT",-0.00076007,"K23114","GPT"
"K23115.1","Time",-5.52e-05,"K23115","Time"
"K23115.2","Word Count",-0.000186035,"K23115","Text leangth"
"K23115.3","Analytic",8.09e-05,"K23115","LIWC"
"K23115.4","Clout",-0.000205682,"K23115","LIWC"
"K23115.5","Authentic",-0.000181328,"K23115","LIWC"
"K23115.6","WordPerSentence",-0.000102056,"K23115","Text leangth"
"K23115.7","BigWords",0.000159761,"K23115","LIWC"
"K23115.8","Dictionary",-0.000100587,"K23115","LIWC"
"K23115.9","Linguistic",0.000107319,"K23115","LIWC"
"K23115.10","Function",-7.63e-05,"K23115","LIWC"
"K23115.11","Pronoun",9.72e-05,"K23115","LIWC"
"K23115.12","Personal pronouns",-0.000120328,"K23115","LIWC"
"K23115.13","i",-0.000200985,"K23115","LIWC"
"K23115.14","Determiners",-5.15e-05,"K23115","LIWC"
"K23115.15","Article",0.000231313,"K23115","LIWC"
"K23115.16","Preposition  ",0.000235428,"K23115","LIWC"
"K23115.17","Auxiliary verbs",0.000402796,"K23115","LIWC"
"K23115.18","Adverbs",0.000381761,"K23115","LIWC"
"K23115.19","Conjunctions",7.12e-05,"K23115","LIWC"
"K23115.20","Verb",0.000136149,"K23115","LIWC"
"K23115.21","Adjectives",-6.01e-06,"K23115","LIWC"
"K23115.22","Quantity",-7.35e-05,"K23115","LIWC"
"K23115.23","Drives",0.00029021,"K23115","LIWC"
"K23115.24","Affiliation",0.000123254,"K23115","LIWC"
"K23115.25","Achieve",0.000351726,"K23115","LIWC"
"K23115.26","Cognition",0.000358758,"K23115","LIWC"
"K23115.27","Cognitive processes",-1e-04,"K23115","LIWC"
"K23115.28","Insight",0.000167828,"K23115","LIWC"
"K23115.29","Affect",-0.000214756,"K23115","LIWC"
"K23115.30","Positive tone",0.000198706,"K23115","LIWC"
"K23115.31","Negative tone",0.000166721,"K23115","LIWC"
"K23115.32","Emotion",-7.81e-05,"K23115","LIWC"
"K23115.33","Social",-0.000110418,"K23115","LIWC"
"K23115.34","Socbehav",9.6e-05,"K23115","LIWC"
"K23115.35","Social referents",-0.000170584,"K23115","LIWC"
"K23115.36","Culture",-0.000142,"K23115","LIWC"
"K23115.37","Lifestyle",0.000328358,"K23115","LIWC"
"K23115.38","Leisure",-0.000145803,"K23115","LIWC"
"K23115.39","Home",5.82e-05,"K23115","LIWC"
"K23115.40","Work",-0.000132287,"K23115","LIWC"
"K23115.41","Physical",1.96e-05,"K23115","LIWC"
"K23115.42","Food",0.000132289,"K23115","LIWC"
"K23115.43","Acquire",0.000137184,"K23115","LIWC"
"K23115.44","Allure",-0.000229294,"K23115","LIWC"
"K23115.45","Perception",0.000114478,"K23115","LIWC"
"K23115.46","Attention",4.4e-05,"K23115","LIWC"
"K23115.47","Motion",-0.000355761,"K23115","LIWC"
"K23115.48","Space",1.88e-05,"K23115","LIWC"
"K23115.49","Visual",-0.000145592,"K23115","LIWC"
"K23115.50","Time LIWC",-6.77e-05,"K23115","LIWC"
"K23115.51","FocusPast",-4.08e-06,"K23115","LIWC"
"K23115.52","FocusFuture",6.45e-05,"K23115","LIWC"
"K23115.53","AllPunc",-7.28e-05,"K23115","LIWC"
"K23115.54","Period",-0.000279204,"K23115","LIWC"
"K23115.55","Compound",0.000414149,"K23115","LIWC"
"K23115.56","PA VADER",8.92e-05,"K23115","Vader"
"K23115.57","Neutral VADER",-0.00067207,"K23115","LIWC"
"K23115.58","NA VADER",8.84e-05,"K23115","Vader"
"K23115.59","ThoughtLength",-0.000128657,"K23115","LIWC"
"K23115.60","StressLength",0.000271926,"K23115","Text leangth"
"K23115.61","EnjoyLength",0.000139957,"K23115","Text leangth"
"K23115.62","Topic_t1",-0.000492724,"K23115","LDA"
"K23115.63","Topic_t2",-0.000251682,"K23115","LDA"
"K23115.64","Topic_t3",0.00034805,"K23115","LDA"
"K23115.65","Topic_t4",-9.18e-05,"K23115","LDA"
"K23115.66","Topic_t5",-0.000583821,"K23115","LDA"
"K23115.67","Topic_t6",0.000409433,"K23115","LDA"
"K23115.68","Happy GPT",3.81e-05,"K23115","GPT"
