,Variable,Importance,Participant,Time
KTGF556,i,0,KTGF556,LIWC
KTGF557,i,0.124204121,KTGF557,LIWC
KTGF561,i,0.016855754,KTGF561,LIWC
KTGF562,i,0.040763016,KTGF562,LIWC
KTGF565,i,0.000168851,KTGF565,LIWC
KTGF570,i,0.050669426,KTGF570,LIWC
KTGF572,i,0.016782041,KTGF572,LIWC
K23153,illness,0.000115207,K23153,LIWC
K23503,illness,0.0047254,K23503,LIWC
K23521,illness,0.005164808,K23521,LIWC
K23101,Insight,0.00120457,K23101,LIWC
K23106,Insight,0.000288576,K23106,LIWC
K23115,Insight,0.002048838,K23115,LIWC
K23117,Insight,0.001981941,K23117,LIWC
K23121,Insight,0.003191621,K23121,LIWC
K23125,Insight,0.002490645,K23125,LIWC
K23128,Insight,0.002500402,K23128,LIWC
K23129,Insight,0.001775667,K23129,LIWC
K23131,Insight,0.000573844,K23131,LIWC
K23133,Insight,0.002024514,K23133,LIWC
K23134,Insight,0.000132991,K23134,LIWC
K23136,Insight,0.000121086,K23136,LIWC
K23144,Insight,0.00088547,K23144,LIWC
K23145,Insight,1.36E-05,K23145,LIWC
K23147,Insight,0.002969041,K23147,LIWC
K23148,Insight,0.00023565,K23148,LIWC
K23150,Insight,0,K23150,LIWC
K23153,Insight,0.00184267,K23153,LIWC
K23503,Insight,0.000180554,K23503,LIWC
K23508,Insight,0.003941168,K23508,LIWC
K23509,Insight,0.005270204,K23509,LIWC
K23510,Insight,0.001691358,K23510,LIWC
K23521,Insight,0.000490933,K23521,LIWC
K23526,Insight,0.003020565,K23526,LIWC
K23529,Insight,0.002006285,K23529,LIWC
K23531,Insight,0,K23531,LIWC
K23532,Insight,0,K23532,LIWC
K23536,Insight,0.003073767,K23536,LIWC
K23537,Insight,0.000673834,K23537,LIWC
K23541,Insight,0.000565917,K23541,LIWC
K23548,Insight,0.000262329,K23548,LIWC
K23551,Insight,0.001279673,K23551,LIWC
K23552,Insight,0.000340784,K23552,LIWC
K23555,Insight,0.015326255,K23555,LIWC
K23556,Insight,0,K23556,LIWC
K23557,Insight,0.000401522,K23557,LIWC
K23559,Insight,0.005858527,K23559,LIWC
K23565,Insight,0.000391895,K23565,LIWC
KTFG534,Insight,0.010458629,KTFG534,LIWC
KTGF118,Insight,0,KTGF118,LIWC
KTGF120,Insight,0.00175054,KTGF120,LIWC
KTGF122,Insight,0.003305885,KTGF122,LIWC
KTGF124,Insight,0.002435489,KTGF124,LIWC
KTGF125,Insight,0.000279484,KTGF125,LIWC
KTGF130,Insight,0.012272527,KTGF130,LIWC
KTGF142,Insight,0.002170399,KTGF142,LIWC
KTGF143,Insight,0.000125151,KTGF143,LIWC
KTGF148,Insight,0.000545246,KTGF148,LIWC
KTGF153,Insight,0.001271843,KTGF153,LIWC
KTGF156,Insight,0.020605362,KTGF156,LIWC
KTGF158,Insight,3.88E-05,KTGF158,LIWC
KTGF527,Insight,4.51E-05,KTGF527,LIWC
KTGF528,Insight,0.007884744,KTGF528,LIWC
KTGF533,Insight,0.000684155,KTGF533,LIWC
KTGF540,Insight,0,KTGF540,LIWC
KTGF544,Insight,0.004303519,KTGF544,LIWC
KTGF545,Insight,0.000711366,KTGF545,LIWC
KTGF549,Insight,0,KTGF549,LIWC
KTGF553,Insight,0.000348303,KTGF553,LIWC
KTGF556,Insight,0.000641709,KTGF556,LIWC
KTGF557,Insight,0.00543267,KTGF557,LIWC
KTGF561,Insight,0.001549537,KTGF561,LIWC
KTGF562,Insight,0.001541796,KTGF562,LIWC
KTGF565,Insight,0.00094344,KTGF565,LIWC
KTGF570,Insight,0.002186237,KTGF570,LIWC
K23101,Interested GPT,0.000792402,K23101,GPT
K23104,Interested GPT,7.77E-05,K23104,GPT
K23106,Interested GPT,0.000332502,K23106,GPT
K23107,Interested GPT,7.86E-08,K23107,GPT
K23109,Interested GPT,0.000393652,K23109,GPT
K23114,Interested GPT,6.12E-05,K23114,GPT
K23115,Interested GPT,0.000123855,K23115,GPT
K23117,Interested GPT,0.000355322,K23117,GPT
K23120,Interested GPT,0.000160402,K23120,GPT
K23121,Interested GPT,0.000134934,K23121,GPT
K23122,Interested GPT,0.000328197,K23122,GPT
K23125,Interested GPT,5.57E-06,K23125,GPT
K23126,Interested GPT,0.000720855,K23126,GPT
K23128,Interested GPT,0.007591912,K23128,GPT
K23129,Interested GPT,0.000559567,K23129,GPT
K23130,Interested GPT,0,K23130,GPT
K23131,Interested GPT,0.000199936,K23131,GPT
K23133,Interested GPT,0.000106452,K23133,GPT
K23134,Interested GPT,0.000292162,K23134,GPT
K23136,Interested GPT,0,K23136,GPT
K23142,Interested GPT,3.46E-05,K23142,GPT
K23143,Interested GPT,2.22E-06,K23143,GPT
K23144,Interested GPT,0,K23144,GPT
K23145,Interested GPT,0.000123613,K23145,GPT
K23147,Interested GPT,8.92E-05,K23147,GPT
K23148,Interested GPT,9.79E-09,K23148,GPT
K23150,Interested GPT,0.001500942,K23150,GPT
K23153,Interested GPT,0.000104881,K23153,GPT
K23156,Interested GPT,0.002982625,K23156,GPT
K23502,Interested GPT,2.05E-05,K23502,GPT
K23503,Interested GPT,0,K23503,GPT
K23507,Interested GPT,0.000490201,K23507,GPT
K23508,Interested GPT,0.000109443,K23508,GPT
K23509,Interested GPT,0.002951787,K23509,GPT
K23510,Interested GPT,0.003826611,K23510,GPT
K23517,Interested GPT,0.000807602,K23517,GPT
K23521,Interested GPT,4.39E-05,K23521,GPT
K23526,Interested GPT,8.18E-06,K23526,GPT
K23529,Interested GPT,0.001878421,K23529,GPT
K23531,Interested GPT,7.38E-05,K23531,GPT
K23532,Interested GPT,0,K23532,GPT
K23533,Interested GPT,0.000702297,K23533,GPT
K23536,Interested GPT,0.000174137,K23536,GPT
K23537,Interested GPT,0.000149149,K23537,GPT
K23540,Interested GPT,0.000706112,K23540,GPT
K23541,Interested GPT,8.55E-06,K23541,GPT
K23548,Interested GPT,0.000649084,K23548,GPT
K23551,Interested GPT,0.001573522,K23551,GPT
K23552,Interested GPT,0.000493593,K23552,GPT
K23555,Interested GPT,0,K23555,GPT
K23556,Interested GPT,0,K23556,GPT
K23557,Interested GPT,8.45E-05,K23557,GPT
K23559,Interested GPT,0.001196155,K23559,GPT
K23563,Interested GPT,0.000145548,K23563,GPT
K23565,Interested GPT,0.001019507,K23565,GPT
KTFG534,Interested GPT,0.000256789,KTFG534,GPT
KTGF118,Interested GPT,9.07E-19,KTGF118,GPT
KTGF120,Interested GPT,0.00119334,KTGF120,GPT
KTGF122,Interested GPT,0.000410576,KTGF122,GPT
KTGF124,Interested GPT,0.000891993,KTGF124,GPT
KTGF125,Interested GPT,3.69E-05,KTGF125,GPT
KTGF126,Interested GPT,0.000112217,KTGF126,GPT
KTGF129,Interested GPT,0.000984141,KTGF129,GPT
KTGF130,Interested GPT,0.000152103,KTGF130,GPT
KTGF136,Interested GPT,0.000494043,KTGF136,GPT
KTGF142,Interested GPT,0.000269592,KTGF142,GPT
KTGF143,Interested GPT,2.34E-05,KTGF143,GPT
KTGF146,Interested GPT,0.002288458,KTGF146,GPT
KTGF147,Interested GPT,0.000424797,KTGF147,GPT
KTGF148,Interested GPT,0.000157075,KTGF148,GPT
KTGF153,Interested GPT,0.001384496,KTGF153,GPT
KTGF154,Interested GPT,0.000188405,KTGF154,GPT
KTGF156,Interested GPT,0.000764343,KTGF156,GPT
KTGF157,Interested GPT,0.000203226,KTGF157,GPT
KTGF158,Interested GPT,0.000604185,KTGF158,GPT
KTGF527,Interested GPT,0.000294627,KTGF527,GPT
KTGF528,Interested GPT,0,KTGF528,GPT
KTGF533,Interested GPT,0.000589641,KTGF533,GPT
KTGF540,Interested GPT,3.99E-05,KTGF540,GPT
KTGF544,Interested GPT,5.76E-05,KTGF544,GPT
KTGF545,Interested GPT,0.000214574,KTGF545,GPT
KTGF549,Interested GPT,0,KTGF549,GPT
KTGF550,Interested GPT,0.000150267,KTGF550,GPT
KTGF553,Interested GPT,2.01E-05,KTGF553,GPT
KTGF556,Interested GPT,9.36E-05,KTGF556,GPT
KTGF557,Interested GPT,0.000149507,KTGF557,GPT
KTGF561,Interested GPT,0.000304966,KTGF561,GPT
KTGF562,Interested GPT,4.86E-08,KTGF562,GPT
KTGF565,Interested GPT,0.000546546,KTGF565,GPT
KTGF570,Interested GPT,6.60E-05,KTGF570,GPT
KTGF572,Interested GPT,0.002215291,KTGF572,GPT
K23104,Impersonal pronouns ,0.013466876,K23104,LIWC
K23106,Impersonal pronouns ,7.92E-06,K23106,LIWC
K23114,Impersonal pronouns ,0,K23114,LIWC
K23121,Impersonal pronouns ,1.83E-05,K23121,LIWC
K23122,Impersonal pronouns ,0.000738913,K23122,LIWC
K23125,Impersonal pronouns ,0.005713229,K23125,LIWC
K23128,Impersonal pronouns ,0.001104795,K23128,LIWC
K23129,Impersonal pronouns ,0.004085414,K23129,LIWC
K23130,Impersonal pronouns ,5.05E-05,K23130,LIWC
K23133,Impersonal pronouns ,0.000396478,K23133,LIWC
K23134,Impersonal pronouns ,0,K23134,LIWC
K23136,Impersonal pronouns ,2.52E-05,K23136,LIWC
K23142,Impersonal pronouns ,0.002117254,K23142,LIWC
K23144,Impersonal pronouns ,0.000277881,K23144,LIWC
K23145,Impersonal pronouns ,0,K23145,LIWC
K23147,Impersonal pronouns ,0.000482326,K23147,LIWC
K23148,Impersonal pronouns ,0.00049213,K23148,LIWC
K23503,Impersonal pronouns ,0.00178494,K23503,LIWC
K23507,Impersonal pronouns ,0.00217868,K23507,LIWC
K23509,Impersonal pronouns ,0.005240214,K23509,LIWC
K23510,Impersonal pronouns ,0.006599892,K23510,LIWC
K23517,Impersonal pronouns ,0.004745098,K23517,LIWC
K23521,Impersonal pronouns ,0.003443991,K23521,LIWC
K23526,Impersonal pronouns ,0.002140125,K23526,LIWC
K23529,Impersonal pronouns ,0.006464266,K23529,LIWC
K23532,Impersonal pronouns ,0.004107028,K23532,LIWC
K23533,Impersonal pronouns ,0.001647735,K23533,LIWC
K23537,Impersonal pronouns ,0.001367741,K23537,LIWC
K23540,Impersonal pronouns ,0,K23540,LIWC
K23541,Impersonal pronouns ,0.002204066,K23541,LIWC
K23548,Impersonal pronouns ,0.004213949,K23548,LIWC
K23552,Impersonal pronouns ,0.013771016,K23552,LIWC
K23555,Impersonal pronouns ,0.00031365,K23555,LIWC
K23556,Impersonal pronouns ,0,K23556,LIWC
K23557,Impersonal pronouns ,9.78E-05,K23557,LIWC
K23563,Impersonal pronouns ,0.000913486,K23563,LIWC
K23565,Impersonal pronouns ,7.39E-05,K23565,LIWC
KTFG534,Impersonal pronouns ,0.006639427,KTFG534,LIWC
KTGF118,Impersonal pronouns ,0.004300766,KTGF118,LIWC
KTGF120,Impersonal pronouns ,0.000312732,KTGF120,LIWC
KTGF122,Impersonal pronouns ,0.000580543,KTGF122,LIWC
KTGF124,Impersonal pronouns ,0.001878402,KTGF124,LIWC
KTGF125,Impersonal pronouns ,0.001062442,KTGF125,LIWC
KTGF142,Impersonal pronouns ,0.000569471,KTGF142,LIWC
KTGF143,Impersonal pronouns ,0.000158687,KTGF143,LIWC
KTGF148,Impersonal pronouns ,0.001068144,KTGF148,LIWC
KTGF153,Impersonal pronouns ,0.000497754,KTGF153,LIWC
KTGF156,Impersonal pronouns ,0.000659564,KTGF156,LIWC
KTGF158,Impersonal pronouns ,9.34E-06,KTGF158,LIWC
KTGF527,Impersonal pronouns ,0,KTGF527,LIWC
KTGF528,Impersonal pronouns ,0,KTGF528,LIWC
KTGF533,Impersonal pronouns ,0.006584796,KTGF533,LIWC
KTGF540,Impersonal pronouns ,4.87E-05,KTGF540,LIWC
KTGF544,Impersonal pronouns ,0.001460801,KTGF544,LIWC
KTGF545,Impersonal pronouns ,0.000221145,KTGF545,LIWC
KTGF549,Impersonal pronouns ,1.98E-06,KTGF549,LIWC
KTGF556,Impersonal pronouns ,0.005615824,KTGF556,LIWC
KTGF557,Impersonal pronouns ,0.000702569,KTGF557,LIWC
KTGF565,Impersonal pronouns ,0.000941548,KTGF565,LIWC
K23101,Leisure,0.014406003,K23101,LIWC
K23104,Leisure,0.009280513,K23104,LIWC
K23106,Leisure,2.75E-06,K23106,LIWC
K23107,Leisure,0.000643903,K23107,LIWC
K23109,Leisure,0.007442966,K23109,LIWC
K23114,Leisure,0,K23114,LIWC
K23115,Leisure,0.003865595,K23115,LIWC
K23117,Leisure,0.03316697,K23117,LIWC
K23120,Leisure,0.00574184,K23120,LIWC
K23121,Leisure,0.001204568,K23121,LIWC
K23122,Leisure,0.016761728,K23122,LIWC
K23125,Leisure,0.000113368,K23125,LIWC
K23128,Leisure,0.022608988,K23128,LIWC
K23129,Leisure,1.52E-05,K23129,LIWC
K23133,Leisure,7.37E-06,K23133,LIWC
K23134,Leisure,0,K23134,LIWC
K23136,Leisure,0,K23136,LIWC
K23142,Leisure,0.007604142,K23142,LIWC
K23143,Leisure,0.002858376,K23143,LIWC
K23145,Leisure,0,K23145,LIWC
K23147,Leisure,3.23E-06,K23147,LIWC
K23148,Leisure,6.15E-05,K23148,LIWC
K23150,Leisure,0.002879106,K23150,LIWC
K23153,Leisure,0.001842442,K23153,LIWC
K23156,Leisure,0.014549998,K23156,LIWC
K23503,Leisure,0.006170436,K23503,LIWC
K23507,Leisure,0.00980416,K23507,LIWC
K23508,Leisure,0.000217963,K23508,LIWC
K23509,Leisure,0.003115616,K23509,LIWC
K23510,Leisure,0.005246437,K23510,LIWC
K23521,Leisure,0.000191261,K23521,LIWC
K23526,Leisure,0.001097008,K23526,LIWC
K23529,Leisure,0.001167519,K23529,LIWC
K23531,Leisure,0,K23531,LIWC
K23532,Leisure,0.000628628,K23532,LIWC
K23533,Leisure,0.000644661,K23533,LIWC
K23536,Leisure,0.000930454,K23536,LIWC
K23537,Leisure,0.009431029,K23537,LIWC
K23541,Leisure,0.005877731,K23541,LIWC
K23548,Leisure,0.006681816,K23548,LIWC
K23551,Leisure,0.00879592,K23551,LIWC
K23552,Leisure,0.035990444,K23552,LIWC
K23555,Leisure,0.006490707,K23555,LIWC
K23556,Leisure,0.002304511,K23556,LIWC
K23557,Leisure,0.000494245,K23557,LIWC
K23559,Leisure,0.000467471,K23559,LIWC
K23563,Leisure,0,K23563,LIWC
K23565,Leisure,1.52E-05,K23565,LIWC
KTGF118,Leisure,0,KTGF118,LIWC
KTGF122,Leisure,0.00192251,KTGF122,LIWC
KTGF124,Leisure,5.27E-05,KTGF124,LIWC
KTGF125,Leisure,0.00035648,KTGF125,LIWC
KTGF129,Leisure,0.009514795,KTGF129,LIWC
KTGF130,Leisure,0.012842325,KTGF130,LIWC
KTGF136,Leisure,0.002456579,KTGF136,LIWC
KTGF142,Leisure,0,KTGF142,LIWC
KTGF143,Leisure,7.96E-05,KTGF143,LIWC
KTGF146,Leisure,0.000820836,KTGF146,LIWC
KTGF148,Leisure,0.000322087,KTGF148,LIWC
KTGF153,Leisure,0.0096269,KTGF153,LIWC
KTGF156,Leisure,0.009392465,KTGF156,LIWC
KTGF157,Leisure,0.008372937,KTGF157,LIWC
KTGF158,Leisure,0.000634645,KTGF158,LIWC
KTGF527,Leisure,0.000292291,KTGF527,LIWC
KTGF528,Leisure,0,KTGF528,LIWC
KTGF533,Leisure,0.000104704,KTGF533,LIWC
KTGF540,Leisure,0.000211612,KTGF540,LIWC
KTGF544,Leisure,0.000323069,KTGF544,LIWC
KTGF545,Leisure,0.022323448,KTGF545,LIWC
KTGF549,Leisure,0.003787143,KTGF549,LIWC
KTGF553,Leisure,0.000640447,KTGF553,LIWC
KTGF556,Leisure,0.000811269,KTGF556,LIWC
KTGF561,Leisure,0.000355035,KTGF561,LIWC
KTGF565,Leisure,0,KTGF565,LIWC
KTGF572,Leisure,0.022000762,KTGF572,LIWC
K23101,Lifestyle,0.006774251,K23101,LIWC
K23104,Lifestyle,0.001295613,K23104,LIWC
K23106,Lifestyle,0.004005265,K23106,LIWC
K23107,Lifestyle,0.000223707,K23107,LIWC
K23109,Lifestyle,0.001685072,K23109,LIWC
K23114,Lifestyle,0.002963458,K23114,LIWC
K23115,Lifestyle,0.000298634,K23115,LIWC
K23117,Lifestyle,0.003239322,K23117,LIWC
K23120,Lifestyle,0.019095697,K23120,LIWC
K23121,Lifestyle,0,K23121,LIWC
K23122,Lifestyle,0.008475262,K23122,LIWC
K23125,Lifestyle,0.008285758,K23125,LIWC
K23126,Lifestyle,0.00749769,K23126,LIWC
K23128,Lifestyle,0.002223622,K23128,LIWC
K23129,Lifestyle,0,K23129,LIWC
K23130,Lifestyle,0,K23130,LIWC
K23131,Lifestyle,0.019602197,K23131,LIWC
K23133,Lifestyle,0.002515828,K23133,LIWC
K23134,Lifestyle,2.96E-05,K23134,LIWC
K23136,Lifestyle,0.000188804,K23136,LIWC
K23142,Lifestyle,0.001818057,K23142,LIWC
K23143,Lifestyle,0.008773972,K23143,LIWC
K23144,Lifestyle,5.15E-05,K23144,LIWC
K23145,Lifestyle,1.59E-05,K23145,LIWC
K23147,Lifestyle,0,K23147,LIWC
K23148,Lifestyle,0.001450348,K23148,LIWC
K23150,Lifestyle,0,K23150,LIWC
K23153,Lifestyle,0.003004361,K23153,LIWC
K23156,Lifestyle,0.016442022,K23156,LIWC
K23502,Lifestyle,0.000481096,K23502,LIWC
K23503,Lifestyle,0.013621008,K23503,LIWC
K23507,Lifestyle,0.136438699,K23507,LIWC
K23508,Lifestyle,0.004177724,K23508,LIWC
K23509,Lifestyle,0.004495342,K23509,LIWC
K23510,Lifestyle,0.005213233,K23510,LIWC
K23517,Lifestyle,0.028992263,K23517,LIWC
K23521,Lifestyle,0,K23521,LIWC
K23526,Lifestyle,0.021244636,K23526,LIWC
K23529,Lifestyle,6.28E-06,K23529,LIWC
K23531,Lifestyle,0.000115668,K23531,LIWC
K23532,Lifestyle,0,K23532,LIWC
K23533,Lifestyle,0.017326895,K23533,LIWC
K23536,Lifestyle,0.001915042,K23536,LIWC
K23537,Lifestyle,0.029202224,K23537,LIWC
K23540,Lifestyle,0.000399833,K23540,LIWC
K23541,Lifestyle,0.00108803,K23541,LIWC
K23548,Lifestyle,0.00126702,K23548,LIWC
K23551,Lifestyle,0.009244428,K23551,LIWC
K23552,Lifestyle,0,K23552,LIWC
K23555,Lifestyle,0.001552613,K23555,LIWC
K23556,Lifestyle,0.00017335,K23556,LIWC
K23557,Lifestyle,0.001713944,K23557,LIWC
K23559,Lifestyle,0.023196186,K23559,LIWC
K23563,Lifestyle,0.00010476,K23563,LIWC
K23565,Lifestyle,0.000798117,K23565,LIWC
KTFG534,Lifestyle,0.020636997,KTFG534,LIWC
KTGF118,Lifestyle,0.001414826,KTGF118,LIWC
KTGF120,Lifestyle,0.001076584,KTGF120,LIWC
KTGF122,Lifestyle,0.046460605,KTGF122,LIWC
KTGF124,Lifestyle,0.003248593,KTGF124,LIWC
KTGF125,Lifestyle,0.004565404,KTGF125,LIWC
KTGF126,Lifestyle,0.010180923,KTGF126,LIWC
KTGF129,Lifestyle,0.014186974,KTGF129,LIWC
KTGF130,Lifestyle,0.004503021,KTGF130,LIWC
KTGF136,Lifestyle,0.000352808,KTGF136,LIWC
KTGF142,Lifestyle,5.23E-05,KTGF142,LIWC
KTGF143,Lifestyle,0,KTGF143,LIWC
KTGF146,Lifestyle,0.020738066,KTGF146,LIWC
KTGF147,Lifestyle,0.006949068,KTGF147,LIWC
KTGF148,Lifestyle,0.000932558,KTGF148,LIWC
KTGF153,Lifestyle,0.000960088,KTGF153,LIWC
KTGF154,Lifestyle,0.007353716,KTGF154,LIWC
KTGF156,Lifestyle,0.040256923,KTGF156,LIWC
KTGF157,Lifestyle,0.048024623,KTGF157,LIWC
KTGF158,Lifestyle,0.000219616,KTGF158,LIWC
KTGF527,Lifestyle,4.74E-07,KTGF527,LIWC
KTGF528,Lifestyle,0,KTGF528,LIWC
KTGF533,Lifestyle,0.003017984,KTGF533,LIWC
KTGF540,Lifestyle,0,KTGF540,LIWC
KTGF544,Lifestyle,0.005248225,KTGF544,LIWC
KTGF545,Lifestyle,0.068974462,KTGF545,LIWC
KTGF549,Lifestyle,0.000171925,KTGF549,LIWC
KTGF550,Lifestyle,0.008476991,KTGF550,LIWC
KTGF553,Lifestyle,0.000117996,KTGF553,LIWC
KTGF556,Lifestyle,0.001735618,KTGF556,LIWC
KTGF557,Lifestyle,0.006487979,KTGF557,LIWC
KTGF561,Lifestyle,0.00283131,KTGF561,LIWC
KTGF562,Lifestyle,0.011463107,KTGF562,LIWC
KTGF565,Lifestyle,0,KTGF565,LIWC
KTGF570,Lifestyle,0.001064249,KTGF570,LIWC
KTGF572,Lifestyle,0,KTGF572,LIWC
K23101,Linguistic,0.00324138,K23101,LIWC
K23104,Linguistic,0.010833621,K23104,LIWC
K23106,Linguistic,0.000229685,K23106,LIWC
K23107,Linguistic,0.013342022,K23107,LIWC
K23109,Linguistic,0.004695812,K23109,LIWC
K23114,Linguistic,0.007569122,K23114,LIWC
K23115,Linguistic,4.41E-06,K23115,LIWC
K23117,Linguistic,0.059062012,K23117,LIWC
K23120,Linguistic,0.047809387,K23120,LIWC
K23121,Linguistic,5.00E-05,K23121,LIWC
K23122,Linguistic,5.50E-05,K23122,LIWC
K23125,Linguistic,0.026000884,K23125,LIWC
K23126,Linguistic,0.081387726,K23126,LIWC
K23128,Linguistic,0.002440055,K23128,LIWC
K23129,Linguistic,0.000976788,K23129,LIWC
K23130,Linguistic,0,K23130,LIWC
K23131,Linguistic,0.005125653,K23131,LIWC
K23133,Linguistic,0.001205756,K23133,LIWC
K23134,Linguistic,0,K23134,LIWC
K23136,Linguistic,0,K23136,LIWC
K23142,Linguistic,0.058532848,K23142,LIWC
K23143,Linguistic,0.000260623,K23143,LIWC
K23144,Linguistic,0.000224187,K23144,LIWC
K23145,Linguistic,4.51E-05,K23145,LIWC
K23147,Linguistic,0,K23147,LIWC
K23148,Linguistic,0.001355416,K23148,LIWC
K23150,Linguistic,0.001698185,K23150,LIWC
K23153,Linguistic,0,K23153,LIWC
K23156,Linguistic,0.029898733,K23156,LIWC
K23502,Linguistic,0.035660404,K23502,LIWC
K23503,Linguistic,0.001323276,K23503,LIWC
K23507,Linguistic,0.007062297,K23507,LIWC
K23508,Linguistic,0.007442288,K23508,LIWC
K23509,Linguistic,0.020007705,K23509,LIWC
K23510,Linguistic,0.0149739,K23510,LIWC
K23517,Linguistic,0.062372615,K23517,LIWC
K23521,Linguistic,0.001810946,K23521,LIWC
K23526,Linguistic,0.004909204,K23526,LIWC
K23529,Linguistic,0.023891705,K23529,LIWC
K23531,Linguistic,0.060158548,K23531,LIWC
K23532,Linguistic,0.016956155,K23532,LIWC
K23533,Linguistic,0.003074003,K23533,LIWC
K23536,Linguistic,0.001537933,K23536,LIWC
K23537,Linguistic,0.049421663,K23537,LIWC
K23540,Linguistic,0.000625294,K23540,LIWC
K23541,Linguistic,0,K23541,LIWC
K23548,Linguistic,0.000399603,K23548,LIWC
K23551,Linguistic,0.000619968,K23551,LIWC
K23552,Linguistic,0.001447309,K23552,LIWC
K23555,Linguistic,0.001976247,K23555,LIWC
K23556,Linguistic,0.003369263,K23556,LIWC
K23557,Linguistic,0.028764456,K23557,LIWC
K23559,Linguistic,0.014305336,K23559,LIWC
K23563,Linguistic,0.022836401,K23563,LIWC
K23565,Linguistic,0.000188743,K23565,LIWC
KTFG534,Linguistic,0.012186841,KTFG534,LIWC
KTGF118,Linguistic,0.001446976,KTGF118,LIWC
KTGF120,Linguistic,8.64E-05,KTGF120,LIWC
KTGF122,Linguistic,0.016046988,KTGF122,LIWC
KTGF124,Linguistic,8.62E-05,KTGF124,LIWC
KTGF125,Linguistic,0.002580549,KTGF125,LIWC
KTGF126,Linguistic,0.004972589,KTGF126,LIWC
KTGF129,Linguistic,0.037377049,KTGF129,LIWC
KTGF130,Linguistic,0.010564983,KTGF130,LIWC
KTGF136,Linguistic,0,KTGF136,LIWC
KTGF142,Linguistic,0.000472639,KTGF142,LIWC
KTGF143,Linguistic,0.000324056,KTGF143,LIWC
KTGF146,Linguistic,0.007857543,KTGF146,LIWC
KTGF147,Linguistic,0.000895934,KTGF147,LIWC
KTGF148,Linguistic,0.002925553,KTGF148,LIWC
KTGF153,Linguistic,0.028321546,KTGF153,LIWC
KTGF154,Linguistic,0.035145144,KTGF154,LIWC
KTGF156,Linguistic,0.001178367,KTGF156,LIWC
KTGF157,Linguistic,0.002062839,KTGF157,LIWC
KTGF158,Linguistic,0.000302999,KTGF158,LIWC
KTGF527,Linguistic,0.000154603,KTGF527,LIWC
KTGF528,Linguistic,0,KTGF528,LIWC
KTGF533,Linguistic,0.000587897,KTGF533,LIWC
KTGF540,Linguistic,0.002760976,KTGF540,LIWC
KTGF544,Linguistic,0.04226214,KTGF544,LIWC
KTGF545,Linguistic,0.059753113,KTGF545,LIWC
KTGF549,Linguistic,0.003663827,KTGF549,LIWC
KTGF550,Linguistic,0.02010793,KTGF550,LIWC
KTGF553,Linguistic,0.0053467,KTGF553,LIWC
KTGF556,Linguistic,0.000189617,KTGF556,LIWC
KTGF557,Linguistic,0.001584855,KTGF557,LIWC
KTGF561,Linguistic,0.025678431,KTGF561,LIWC
KTGF562,Linguistic,0.030956764,KTGF562,LIWC
KTGF565,Linguistic,0.014339062,KTGF565,LIWC
KTGF570,Linguistic,0.037353037,KTGF570,LIWC
KTGF572,Linguistic,0.036314558,KTGF572,LIWC
K23101,Motion,0.00223276,K23101,LIWC
K23104,Motion,0.007128073,K23104,LIWC
K23106,Motion,0.000848679,K23106,LIWC
K23107,Motion,0.001140897,K23107,LIWC
K23109,Motion,0.000281881,K23109,LIWC
K23115,Motion,0.001898992,K23115,LIWC
K23121,Motion,0.000168792,K23121,LIWC
K23122,Motion,2.52E-05,K23122,LIWC
K23125,Motion,0.003076131,K23125,LIWC
K23126,Motion,0.057151969,K23126,LIWC
K23128,Motion,0.000488198,K23128,LIWC
K23129,Motion,0.001587166,K23129,LIWC
K23130,Motion,4.15E-06,K23130,LIWC
K23131,Motion,0.010067033,K23131,LIWC
K23133,Motion,0.001269982,K23133,LIWC
K23134,Motion,0,K23134,LIWC
K23136,Motion,0.00180871,K23136,LIWC
K23143,Motion,0.000375252,K23143,LIWC
K23144,Motion,0.000350261,K23144,LIWC
K23145,Motion,0.000537331,K23145,LIWC
K23147,Motion,0,K23147,LIWC
K23148,Motion,0.00016902,K23148,LIWC
K23150,Motion,0.000550197,K23150,LIWC
K23156,Motion,9.30E-05,K23156,LIWC
K23502,Motion,0.014574867,K23502,LIWC
K23503,Motion,0,K23503,LIWC
K23508,Motion,0,K23508,LIWC
K23510,Motion,0.002108119,K23510,LIWC
K23521,Motion,9.64E-05,K23521,LIWC
K23526,Motion,0.001012006,K23526,LIWC
K23529,Motion,5.38E-05,K23529,LIWC
K23531,Motion,0,K23531,LIWC
K23532,Motion,0,K23532,LIWC
K23533,Motion,0.017485792,K23533,LIWC
K23536,Motion,0.002330047,K23536,LIWC
K23537,Motion,0.000689513,K23537,LIWC
K23541,Motion,0.003887108,K23541,LIWC
K23548,Motion,3.58E-06,K23548,LIWC
K23551,Motion,0.000410297,K23551,LIWC
K23552,Motion,0.000312417,K23552,LIWC
K23555,Motion,0,K23555,LIWC
K23556,Motion,4.26E-05,K23556,LIWC
K23557,Motion,0.00034567,K23557,LIWC
K23565,Motion,4.08E-05,K23565,LIWC
KTFG534,Motion,0.001884676,KTFG534,LIWC
KTGF118,Motion,0.000726721,KTGF118,LIWC
KTGF120,Motion,0.000453239,KTGF120,LIWC
KTGF122,Motion,0.012817146,KTGF122,LIWC
KTGF124,Motion,0.001561388,KTGF124,LIWC
KTGF126,Motion,0.048866135,KTGF126,LIWC
KTGF129,Motion,0.015934649,KTGF129,LIWC
